Volume	water	STD1	STD 3	Sample
18.933	0.0	11.6617	2153.1	620.633
18.950	0.0	12.133	2233.53	613.306
18.967	0.0	11.7004	2310.53	598.74
18.983	0.0	10.5588	2386.61	591.872
19.000	0.0	9.91344	2461.96	584.583
19.017	0.0	9.13055	2531.24	578.499
19.033	0.0	9.07411	2600.72	571.197
19.050	0.0	8.94696	2668.74	563.5
19.067	0.0	7.05614	2794.37	556.547
19.083	0.0	6.83367	2851.56	549.958
19.100	0.0	7.59271	2906.33	543.657
19.117	0.0	8.06002	2958.45	536.561
19.133	0.0	8.1019	3005.22	524.718
19.150	0.0	6.5033	3047.11	519.091
19.167	0.0	7.54468	3085.15	512.534
19.183	0.0	7.27492	3116.86	506.723
19.200	0.0	7.51432	3146.0	500.635
19.217	0.0	7.22614	3171.74	495.908
19.233	0.0	8.05645	3192.14	491.208
19.250	0.0	8.1475	3205.93	486.941
19.267	0.0	8.74119	3217.05	481.876
19.283	0.0	9.2383	3222.28	471.558
19.300	0.0	9.92011	3216.51	465.37
19.317	0.0	8.93758	3205.58	460.632
19.333	0.0	8.10364	3190.04	456.942
19.350	0.0	9.58697	3170.09	454.968
19.367	0.0	11.2276	3144.82	451.083
19.383	0.0	11.3676	3114.7	444.329
19.400	0.0	11.7811	3079.9	438.341
19.417	0.0	10.8321	3041.43	434.165
19.433	0.0	8.95588	3000.92	429.278
19.450	0.0	9.08394	2952.46	422.895
19.467	0.0	12.8333	2903.36	419.537
19.483	0.0	14.5679	2847.85	418.514
19.500	0.0	13.8895	2793.55	417.462
19.517	0.0	12.291	2670.55	417.442
19.533	0.0	11.6521	2603.15	417.971
19.550	0.0	11.8378	2535.21	420.389
19.567	0.0	11.6489	2465.12	423.319
19.583	0.0	11.4644	2394.2	426.28
19.600	0.0	11.9022	2321.01	430.307
19.617	0.0	12.5308	2248.33	451.016
19.633	0.0	13.9361	2170.96	466.934
19.650	0.0	14.4262	2093.74	486.125
19.667	0.0	13.9351	2018.04	508.863
19.683	0.0	13.4544	1942.16	537.932
19.700	0.0	15.1408	1868.86	573.165
19.717	0.0	16.1685	1795.93	617.53
19.733	0.0	16.8474	1724.63	670.754
19.750	0.0	17.2782	1574.41	732.417
19.767	0.0	21.1636	1503.22	883.275
19.783	0.0	23.0321	1432.93	978.38
19.800	0.0	25.4383	1366.63	1084.12
19.817	0.0	27.8086	1302.01	1201.34
19.833	0.0	28.5327	1239.24	1328.0
19.850	0.0	30.2107	1176.35	1465.71
19.867	0.0	34.2194	1117.03	1613.15
19.883	0.0	38.0134	1057.35	1766.15
19.900	0.0	42.033	1002.02	1920.86
19.917	0.0	49.4541	949.174	2074.28
19.933	0.0	51.1109	897.57	2362.95
19.950	0.0	52.8772	848.272	2486.54
19.967	0.0	53.6076	801.867	2587.8
19.983	0.0	54.9529	712.79	2666.15
