Samples	water	D-St6	D-St7	D-St8	D-St9
26.417	-0.93035	-0.30515	-0.49535	-0.95535	-0.56725
26.425	-0.9307	-0.32205	-0.50175	-0.96445	-0.56805
26.433	-0.93245	-0.3396	-0.5133	-0.96655	-0.57075
26.442	-0.9304	-0.3581	-0.5211	-0.9748	-0.57535
26.450	-0.934	-0.3776	-0.5297	-0.9829	-0.57695
26.458	-0.9357	-0.39315	-0.53875	-0.99005	-0.5801
26.467	-0.93795	-0.4084	-0.54565	-0.99765	-0.5809
26.475	-0.93875	-0.426	-0.55045	-1.0059	-0.5839
26.483	-0.93825	-0.44205	-0.55565	-1.01175	-0.5867
26.492	-0.9397	-0.45705	-0.56275	-1.02015	-0.58365
26.500	-0.93895	-0.46745	-0.56885	-1.02445	-0.5886
26.508	-0.93825	-0.4783	-0.57385	-1.0304	-0.58795
26.517	-0.9381	-0.4877	-0.5764	-1.0362	-0.5904
26.525	-0.9383	-0.49855	-0.58	-1.04175	-0.58995
26.533	-0.9392	-0.5031	-0.5828	-1.0477	-0.59305
26.542	-0.93775	-0.50905	-0.5834	-1.0521	-0.59475
26.550	-0.94125	-0.5131	-0.58665	-1.05405	-0.59665
26.558	-0.94255	-0.51815	-0.59005	-1.05655	-0.59575
26.567	-0.94145	-0.52145	-0.5894	-1.06225	-0.59525
26.575	-0.9408	-0.52455	-0.5921	-1.0621	-0.59675
26.583	-0.9411	-0.52545	-0.5916	-1.0639	-0.5976
26.592	-0.941	-0.5255	-0.5919	-1.06475	-0.59805
26.600	-0.94315	-0.527	-0.5903	-1.06475	-0.59845
26.608	-0.9431	-0.52665	-0.58955	-1.06535	-0.59975
26.617	-0.9477	-0.52545	-0.58905	-1.0655	-0.5999
26.625	-0.9452	-0.52675	-0.58865	-1.0631	-0.6014
26.633	-0.9463	-0.5264	-0.5888	-1.0664	-0.5999
26.642	-0.945	-0.5253	-0.5891	-1.06665	-0.6003
26.650	-0.9447	-0.52445	-0.5897	-1.06545	-0.59975
26.658	-0.9452	-0.5247	-0.5896	-1.06505	-0.5986
26.667	-0.94665	-0.522	-0.58685	-1.06475	-0.5996
26.675	-0.9462	-0.5213	-0.58665	-1.06515	-0.5995
26.683	-0.94595	-0.52145	-0.5872	-1.06235	-0.5964
26.692	-0.9461	-0.52195	-0.58715	-1.06235	-0.599
26.700	-0.94505	-0.5165	-0.5871	-1.0611	-0.59905
26.708	-0.94605	-0.5182	-0.58745	-1.0616	-0.6001
26.717	-0.9475	-0.51765	-0.58705	-1.06135	-0.6006
26.725	-0.94755	-0.51595	-0.58735	-1.06105	-0.60155
26.733	-0.94745	-0.5145	-0.58925	-1.0605	-0.6023
26.742	-0.9478	-0.5193	-0.58945	-1.0623	-0.5998
26.750	-0.9476	-0.5199	-0.5912	-1.0618	-0.60015
26.758	-0.9482	-0.51895	-0.58955	-1.0612	-0.60005
26.767	-0.94675	-0.52005	-0.59165	-1.06215	-0.59935
26.775	-0.94685	-0.52155	-0.5918	-1.0642	-0.59835
26.783	-0.9464	-0.51915	-0.59155	-1.0648	-0.6024
26.792	-0.9452	-0.52115	-0.5904	-1.0653	-0.6029
26.800	-0.9484	-0.5206	-0.5895	-1.06975	-0.60065
26.808	-0.94805	-0.52175	-0.59495	-1.0698	-0.60325
26.817	-0.9481	-0.52295	-0.59375	-1.0695	-0.60225
26.825	-0.9476	-0.52465	-0.59515	-1.07005	-0.60295
26.833	-0.9485	-0.526	-0.5966	-1.07065	-0.60375
26.842	-0.94885	-0.5276	-0.5977	-1.07135	-0.60455
26.850	-0.95075	-0.52735	-0.5968	-1.07165	-0.60395
26.858	-0.9514	-0.5283	-0.59485	-1.073	-0.60495
26.867	-0.95445	-0.52915	-0.59575	-1.07225	-0.60535
26.875	-0.95325	-0.53055	-0.5968	-1.0725	-0.6038
26.883	-0.95385	-0.53225	-0.5984	-1.07135	-0.6062
26.892	-0.955	-0.53495	-0.5976	-1.07365	-0.60745
26.900	-0.9555	-0.5344	-0.599	-1.0744	-0.6074
26.908	-0.9553	-0.53495	-0.59895	-1.07715	-0.6068
26.917	-0.9552	-0.53835	-0.599	-1.07695	-0.6082
26.925	-0.9571	-0.5379	-0.6	-1.07855	-0.60975
26.933	-0.95615	-0.53875	-0.601	-1.07925	-0.6081
26.942	-0.95595	-0.53995	-0.6006	-1.0788	-0.6074
26.950	-0.9555	-0.54115	-0.6034	-1.07765	-0.60875
26.958	-0.95545	-0.54305	-0.60335	-1.0782	-0.611
26.967	-0.95715	-0.5429	-0.6038	-1.07845	-0.6107
26.975	-0.95915	-0.5427	-0.6054	-1.07795	-0.61165
26.983	-0.959	-0.5415	-0.60595	-1.0794	-0.611
26.992	-0.95955	-0.54595	-0.6043	-1.0806	-0.61095
27.000	-0.96025	-0.54615	-0.6055	-1.0812	-0.61075
27.008	-0.9604	-0.5508	-0.60625	-1.0823	-0.60885
27.017	-0.9567	-0.55045	-0.6063	-1.083	-0.6092
27.025	-0.9578	-0.5511	-0.60595	-1.0826	-0.6095
27.033	-0.95805	-0.5533	-0.60735	-1.084	-0.60965
27.042	-0.957	-0.55	-0.6075	-1.0856	-0.6095
27.050	-0.9575	-0.5525	-0.60645	-1.08595	-0.6105
27.058	-0.95825	-0.55265	-0.6082	-1.08735	-0.6108
27.067	-0.9601	-0.55275	-0.6114	-1.0885	-0.6096
27.075	-0.9595	-0.5545	-0.6119	-1.08875	-0.6098
27.083	-0.9589	-0.555	-0.6143	-1.08885	-0.60965
27.092	-0.95915	-0.5573	-0.6149	-1.09	-0.61005
27.100	-0.95945	-0.55955	-0.61405	-1.0921	-0.6113
27.108	-0.963	-0.5599	-0.6145	-1.0919	-0.6125
27.117	-0.96185	-0.56145	-0.6133	-1.0945	-0.61445
27.125	-0.96215	-0.56335	-0.61395	-1.0929	-0.61445
27.133	-0.96265	-0.5659	-0.61265	-1.0939	-0.61265
27.142	-0.9616	-0.56655	-0.61455	-1.0943	-0.61285
27.150	-0.96145	-0.5703	-0.61465	-1.096	-0.6137
27.158	-0.96275	-0.5713	-0.6158	-1.09695	-0.61545
